Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e210-il-200000
Airfoil,e210-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,78.6915
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-e210-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.3676,0.09457,0.09145,-0.0404,1.0000,0.0655
-8.500,-0.3999,0.09123,0.08825,-0.0420,1.0000,0.0665
-8.250,-0.4292,0.08493,0.08203,-0.0500,0.9960,0.0668
-8.000,-0.4208,0.07709,0.07422,-0.0562,0.9904,0.0682
-7.750,-0.3877,0.07753,0.07463,-0.0513,0.9886,0.0700
-7.500,-0.3661,0.07315,0.07024,-0.0575,0.9830,0.0725
-7.250,-0.3958,0.04160,0.03718,-0.0919,0.9601,0.0463
-7.000,-0.3730,0.03594,0.03106,-0.0942,0.9519,0.0411
-6.750,-0.3402,0.03130,0.02580,-0.0978,0.9470,0.0408
-6.500,-0.3106,0.02835,0.02238,-0.0993,0.9394,0.0415
-6.250,-0.2745,0.02549,0.01906,-0.1015,0.9345,0.0417
-6.000,-0.2335,0.02331,0.01653,-0.1043,0.9317,0.0426
-5.750,-0.2037,0.02214,0.01510,-0.1046,0.9220,0.0443
-5.500,-0.1646,0.02004,0.01292,-0.1070,0.9188,0.0470
-5.250,-0.1333,0.01887,0.01172,-0.1076,0.9103,0.0493
-5.000,-0.0936,0.01768,0.01047,-0.1097,0.9059,0.0527
-4.750,-0.0573,0.01647,0.00925,-0.1114,0.8996,0.0583
-4.500,-0.0190,0.01553,0.00827,-0.1134,0.8924,0.0665
-4.250,0.0220,0.01411,0.00701,-0.1163,0.8862,0.0979
-4.000,0.0595,0.01293,0.00621,-0.1187,0.8765,0.1847
-3.750,0.0965,0.01206,0.00569,-0.1209,0.8654,0.2798
-3.500,0.1344,0.01143,0.00545,-0.1232,0.8539,0.4021
-3.250,0.1712,0.01132,0.00536,-0.1247,0.8407,0.4754
-3.000,0.2051,0.01130,0.00527,-0.1255,0.8261,0.5120
-2.750,0.2367,0.01133,0.00517,-0.1259,0.8110,0.5374
-2.500,0.2666,0.01137,0.00511,-0.1260,0.7960,0.5589
-2.250,0.2954,0.01145,0.00508,-0.1259,0.7817,0.5790
-2.000,0.3233,0.01152,0.00506,-0.1256,0.7678,0.5973
-1.750,0.3501,0.01159,0.00504,-0.1252,0.7542,0.6131
-1.500,0.3768,0.01166,0.00503,-0.1248,0.7415,0.6280
-1.250,0.4038,0.01173,0.00503,-0.1244,0.7299,0.6420
-1.000,0.4314,0.01181,0.00500,-0.1242,0.7194,0.6560
-0.750,0.4578,0.01187,0.00502,-0.1238,0.7085,0.6699
-0.500,0.4842,0.01195,0.00505,-0.1234,0.6984,0.6837
-0.250,0.5121,0.01204,0.00504,-0.1233,0.6896,0.6976
0.000,0.5376,0.01209,0.00510,-0.1227,0.6798,0.7109
0.250,0.5642,0.01217,0.00515,-0.1224,0.6715,0.7248
0.500,0.5903,0.01223,0.00520,-0.1219,0.6629,0.7395
0.750,0.6163,0.01230,0.00528,-0.1215,0.6548,0.7549
1.000,0.6423,0.01236,0.00534,-0.1210,0.6470,0.7714
1.250,0.6678,0.01244,0.00544,-0.1205,0.6396,0.7901
1.500,0.6922,0.01248,0.00552,-0.1196,0.6321,0.8100
1.750,0.7159,0.01255,0.00562,-0.1186,0.6253,0.8350
2.000,0.7372,0.01255,0.00571,-0.1170,0.6181,0.8662
2.250,0.7594,0.01255,0.00574,-0.1155,0.6121,0.9104
2.500,0.7978,0.01253,0.00577,-0.1178,0.6041,1.0000
2.750,0.8300,0.01278,0.00588,-0.1191,0.5981,1.0000
3.000,0.8569,0.01298,0.00609,-0.1193,0.5906,1.0000
3.250,0.8860,0.01320,0.00622,-0.1197,0.5843,1.0000
3.500,0.9128,0.01344,0.00647,-0.1197,0.5777,1.0000
3.750,0.9402,0.01366,0.00665,-0.1198,0.5710,1.0000
4.000,0.9682,0.01393,0.00687,-0.1199,0.5651,1.0000
4.250,0.9937,0.01415,0.00714,-0.1196,0.5581,1.0000
4.500,1.0226,0.01441,0.00732,-0.1199,0.5523,1.0000
4.750,1.0468,0.01465,0.00764,-0.1194,0.5451,1.0000
5.000,1.0741,0.01487,0.00784,-0.1193,0.5386,1.0000
5.250,1.0991,0.01513,0.00814,-0.1189,0.5316,1.0000
5.500,1.1250,0.01533,0.00835,-0.1186,0.5243,1.0000
5.750,1.1501,0.01557,0.00862,-0.1181,0.5170,1.0000
6.000,1.1750,0.01576,0.00884,-0.1176,0.5091,1.0000
6.250,1.1995,0.01599,0.00911,-0.1171,0.5016,1.0000
6.500,1.2239,0.01617,0.00932,-0.1165,0.4935,1.0000
6.750,1.2473,0.01639,0.00962,-0.1157,0.4854,1.0000
7.000,1.2715,0.01656,0.00979,-0.1150,0.4769,1.0000
7.250,1.2928,0.01676,0.01009,-0.1139,0.4677,1.0000
7.500,1.3169,0.01695,0.01026,-0.1132,0.4591,1.0000
7.750,1.3364,0.01712,0.01056,-0.1117,0.4488,1.0000
8.000,1.3568,0.01733,0.01084,-0.1103,0.4388,1.0000
8.250,1.3777,0.01753,0.01105,-0.1091,0.4285,1.0000
8.500,1.3952,0.01773,0.01134,-0.1072,0.4167,1.0000
8.750,1.4120,0.01797,0.01168,-0.1052,0.4043,1.0000
9.000,1.4277,0.01823,0.01201,-0.1031,0.3908,1.0000
9.250,1.4417,0.01853,0.01236,-0.1007,0.3761,1.0000
9.500,1.4529,0.01888,0.01275,-0.0978,0.3605,1.0000
9.750,1.4615,0.01931,0.01320,-0.0945,0.3435,1.0000
10.000,1.4683,0.01988,0.01375,-0.0910,0.3252,1.0000
10.250,1.4741,0.02055,0.01445,-0.0875,0.3029,1.0000
10.500,1.4765,0.02145,0.01529,-0.0838,0.2794,1.0000
10.750,1.4761,0.02260,0.01635,-0.0799,0.2536,1.0000
11.000,1.4738,0.02399,0.01766,-0.0761,0.2278,1.0000
11.250,1.4693,0.02565,0.01922,-0.0724,0.2043,1.0000
11.500,1.4632,0.02759,0.02107,-0.0690,0.1830,1.0000
11.750,1.4573,0.02972,0.02313,-0.0660,0.1642,1.0000
12.000,1.4516,0.03202,0.02539,-0.0634,0.1467,1.0000
12.250,1.4456,0.03455,0.02788,-0.0613,0.1316,1.0000
12.500,1.4397,0.03726,0.03057,-0.0595,0.1184,1.0000
12.750,1.4340,0.04013,0.03345,-0.0581,0.1068,1.0000
13.000,1.4274,0.04326,0.03657,-0.0570,0.0973,1.0000
13.250,1.4217,0.04647,0.03979,-0.0562,0.0882,1.0000
13.500,1.4185,0.04956,0.04294,-0.0556,0.0800,1.0000
13.750,1.4101,0.05331,0.04668,-0.0553,0.0738,1.0000
14.000,1.4079,0.05654,0.05000,-0.0551,0.0669,1.0000
14.250,1.4005,0.06043,0.05392,-0.0551,0.0615,1.0000
14.500,1.3973,0.06398,0.05755,-0.0553,0.0558,1.0000
14.750,1.3888,0.06826,0.06184,-0.0556,0.0513,1.0000
15.000,1.3860,0.07196,0.06566,-0.0561,0.0461,1.0000
15.250,1.3760,0.07664,0.07032,-0.0568,0.0423,1.0000
15.500,1.3733,0.08055,0.07437,-0.0574,0.0381,1.0000
15.750,1.3648,0.08524,0.07906,-0.0584,0.0350,1.0000
16.000,1.3609,0.08936,0.08330,-0.0591,0.0319,1.0000
