Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e210-il-500000
Airfoil,e210-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,112.971
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-e210-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.3615,0.10405,0.10189,-0.0392,1.0000,0.0244
-10.000,-0.3632,0.10130,0.09917,-0.0390,1.0000,0.0249
-9.250,-0.5023,0.04090,0.03799,-0.0951,0.9785,0.0175
-9.000,-0.4908,0.03399,0.03051,-0.1020,0.9729,0.0173
-8.750,-0.4760,0.02999,0.02604,-0.1039,0.9659,0.0176
-8.500,-0.4495,0.02703,0.02266,-0.1063,0.9619,0.0178
-8.250,-0.4202,0.02362,0.01878,-0.1092,0.9596,0.0185
-8.000,-0.3978,0.02204,0.01715,-0.1093,0.9532,0.0193
-7.750,-0.3662,0.02092,0.01593,-0.1107,0.9494,0.0202
-7.500,-0.3317,0.01948,0.01431,-0.1127,0.9470,0.0209
-7.250,-0.3019,0.01818,0.01285,-0.1135,0.9425,0.0216
-7.000,-0.2736,0.01719,0.01172,-0.1138,0.9363,0.0223
-6.750,-0.2386,0.01630,0.01069,-0.1153,0.9333,0.0229
-6.500,-0.2147,0.01470,0.00904,-0.1151,0.9255,0.0242
-6.250,-0.1814,0.01388,0.00819,-0.1164,0.9200,0.0255
-6.000,-0.1485,0.01314,0.00739,-0.1175,0.9126,0.0265
-5.750,-0.1093,0.01242,0.00659,-0.1200,0.9058,0.0278
-5.500,-0.0715,0.01171,0.00580,-0.1223,0.8960,0.0293
-5.250,-0.0318,0.01098,0.00500,-0.1250,0.8846,0.0319
-5.000,0.0055,0.01054,0.00446,-0.1270,0.8688,0.0344
-4.750,0.0387,0.01012,0.00392,-0.1282,0.8496,0.0383
-4.500,0.0690,0.00981,0.00352,-0.1287,0.8294,0.0473
-4.250,0.0957,0.00933,0.00315,-0.1287,0.8087,0.0900
-4.000,0.1219,0.00906,0.00292,-0.1285,0.7885,0.1315
-3.750,0.1478,0.00884,0.00274,-0.1282,0.7695,0.1738
-3.250,0.1989,0.00833,0.00244,-0.1277,0.7354,0.2936
-3.000,0.2243,0.00808,0.00237,-0.1274,0.7199,0.3750
-2.750,0.2505,0.00804,0.00237,-0.1271,0.7056,0.4291
-2.500,0.2770,0.00806,0.00237,-0.1268,0.6922,0.4625
-2.250,0.3036,0.00810,0.00238,-0.1264,0.6796,0.4882
-2.000,0.3305,0.00816,0.00238,-0.1262,0.6682,0.5047
-1.750,0.3574,0.00823,0.00237,-0.1259,0.6578,0.5188
-1.500,0.3843,0.00828,0.00239,-0.1256,0.6475,0.5345
-1.250,0.4114,0.00833,0.00240,-0.1254,0.6381,0.5474
-1.000,0.4384,0.00842,0.00240,-0.1252,0.6294,0.5587
-0.750,0.4658,0.00846,0.00243,-0.1251,0.6208,0.5701
-0.500,0.4927,0.00853,0.00245,-0.1248,0.6130,0.5805
-0.250,0.5200,0.00856,0.00248,-0.1247,0.6050,0.5914
0.250,0.5744,0.00867,0.00256,-0.1244,0.5907,0.6143
0.500,0.6014,0.00875,0.00260,-0.1242,0.5838,0.6254
0.750,0.6287,0.00879,0.00266,-0.1241,0.5773,0.6373
1.000,0.6558,0.00885,0.00272,-0.1239,0.5708,0.6506
1.250,0.6828,0.00892,0.00279,-0.1238,0.5647,0.6646
