Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e210-il-100000
Airfoil,e210-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,52.6605
Max Cl/Cd alpha,10.25
Url,http://airfoiltools.com/polar/csv?polar=xf-e210-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.3797,0.09718,0.09301,-0.0348,1.0000,0.1366
-7.750,-0.4230,0.09667,0.09270,-0.0329,1.0000,0.1373
-7.500,-0.4620,0.09490,0.09109,-0.0337,1.0000,0.1376
-7.250,-0.4085,0.09101,0.08712,-0.0266,1.0000,0.1423
-7.000,-0.4250,0.08999,0.08620,-0.0232,1.0000,0.1443
-6.750,-0.4392,0.08786,0.08416,-0.0243,0.9972,0.1488
-6.500,-0.4190,0.08144,0.07773,-0.0350,0.9867,0.1570
-6.250,-0.4189,0.05007,0.04494,-0.0736,0.9697,0.0824
-6.000,-0.3867,0.04337,0.03764,-0.0786,0.9614,0.0732
-5.750,-0.3515,0.03833,0.03185,-0.0829,0.9532,0.0719
-5.500,-0.3098,0.03475,0.02765,-0.0869,0.9467,0.0728
-5.250,-0.2736,0.03192,0.02428,-0.0891,0.9376,0.0732
-5.000,-0.2281,0.02966,0.02156,-0.0925,0.9322,0.0762
-4.750,-0.1931,0.02805,0.01959,-0.0939,0.9220,0.0812
-4.500,-0.1499,0.02626,0.01782,-0.0967,0.9163,0.0874
-4.250,-0.1147,0.02487,0.01634,-0.0979,0.9067,0.0964
-4.000,-0.0780,0.02359,0.01521,-0.0996,0.8982,0.1158
-3.750,-0.0373,0.02179,0.01380,-0.1022,0.8914,0.1787
-3.500,-0.0024,0.02019,0.01302,-0.1044,0.8827,0.3182
-3.250,0.0384,0.01976,0.01309,-0.1063,0.8760,0.4779
-3.000,0.0709,0.01979,0.01312,-0.1063,0.8662,0.5361
-2.750,0.1139,0.01959,0.01287,-0.1080,0.8608,0.5821
-2.500,0.1454,0.01955,0.01278,-0.1078,0.8509,0.6158
-2.250,0.1871,0.01925,0.01241,-0.1093,0.8453,0.6484
-2.000,0.2153,0.01916,0.01229,-0.1085,0.8347,0.6722
-1.750,0.2576,0.01877,0.01180,-0.1102,0.8292,0.6983
-1.500,0.2826,0.01871,0.01172,-0.1091,0.8177,0.7178
-1.250,0.3146,0.01852,0.01145,-0.1091,0.8090,0.7383
-1.000,0.3473,0.01832,0.01115,-0.1095,0.8002,0.7590
-0.750,0.3715,0.01829,0.01108,-0.1083,0.7896,0.7765
-0.500,0.4065,0.01801,0.01071,-0.1089,0.7827,0.7947
-0.250,0.4259,0.01807,0.01076,-0.1070,0.7713,0.8122
0.000,0.4502,0.01804,0.01069,-0.1060,0.7621,0.8312
0.250,0.4786,0.01793,0.01050,-0.1057,0.7538,0.8521
0.500,0.4969,0.01798,0.01056,-0.1036,0.7439,0.8732
0.750,0.5279,0.01779,0.01029,-0.1037,0.7370,0.8985
1.000,0.5514,0.01786,0.01041,-0.1029,0.7268,0.9295
1.250,0.6057,0.01776,0.01021,-0.1081,0.7194,0.9624
1.500,0.6543,0.01788,0.01027,-0.1134,0.7096,1.0000
1.750,0.6816,0.01819,0.01046,-0.1147,0.7013,1.0000
2.000,0.7134,0.01846,0.01060,-0.1162,0.6932,1.0000
2.250,0.7406,0.01888,0.01095,-0.1167,0.6849,1.0000
2.500,0.7716,0.01916,0.01112,-0.1176,0.6774,1.0000
2.750,0.7963,0.01964,0.01157,-0.1175,0.6693,1.0000
3.000,0.8261,0.01994,0.01181,-0.1180,0.6621,1.0000
3.250,0.8500,0.02046,0.01232,-0.1176,0.6542,1.0000
3.500,0.8783,0.02080,0.01262,-0.1179,0.6470,1.0000
3.750,0.9026,0.02132,0.01316,-0.1175,0.6396,1.0000
4.000,0.9290,0.02173,0.01356,-0.1174,0.6322,1.0000
4.250,0.9545,0.02223,0.01406,-0.1172,0.6252,1.0000
4.500,0.9786,0.02271,0.01459,-0.1167,0.6174,1.0000
4.750,1.0062,0.02314,0.01502,-0.1168,0.6110,1.0000
5.000,1.0273,0.02373,0.01569,-0.1158,0.6027,1.0000
5.250,1.0577,0.02405,0.01599,-0.1162,0.5965,1.0000
5.500,1.0757,0.02475,0.01681,-0.1148,0.5877,1.0000
5.750,1.1073,0.02498,0.01702,-0.1153,0.5813,1.0000
6.000,1.1242,0.02568,0.01785,-0.1138,0.5721,1.0000
6.250,1.1531,0.02594,0.01815,-0.1138,0.5648,1.0000
6.500,1.1740,0.02643,0.01874,-0.1127,0.5556,1.0000
6.750,1.1976,0.02685,0.01923,-0.1119,0.5471,1.0000
7.000,1.2259,0.02696,0.01938,-0.1118,0.5385,1.0000
7.250,1.2438,0.02753,0.02009,-0.1102,0.5287,1.0000
7.500,1.2799,0.02729,0.01981,-0.1110,0.5204,1.0000
7.750,1.2952,0.02776,0.02046,-0.1089,0.5093,1.0000
8.000,1.3160,0.02803,0.02084,-0.1076,0.4987,1.0000
8.250,1.3466,0.02779,0.02061,-0.1075,0.4884,1.0000
8.500,1.3702,0.02774,0.02063,-0.1065,0.4766,1.0000
8.750,1.3869,0.02793,0.02096,-0.1044,0.4640,1.0000
9.000,1.4060,0.02795,0.02110,-0.1026,0.4511,1.0000
9.250,1.4253,0.02789,0.02113,-0.1008,0.4375,1.0000
9.500,1.4428,0.02784,0.02115,-0.0987,0.4230,1.0000
9.750,1.4571,0.02783,0.02123,-0.0962,0.4075,1.0000
10.000,1.4683,0.02790,0.02136,-0.0931,0.3909,1.0000
10.250,1.4766,0.02804,0.02157,-0.0897,0.3733,1.0000
10.500,1.4810,0.02827,0.02180,-0.0857,0.3551,1.0000
10.750,1.4762,0.02897,0.02258,-0.0806,0.3358,1.0000
11.000,1.4718,0.02982,0.02345,-0.0759,0.3147,1.0000
11.250,1.4659,0.03098,0.02457,-0.0715,0.2925,1.0000
11.500,1.4574,0.03255,0.02607,-0.0673,0.2697,1.0000
11.750,1.4476,0.03452,0.02795,-0.0636,0.2472,1.0000
12.000,1.4371,0.03685,0.03016,-0.0603,0.2264,1.0000
12.250,1.4269,0.03949,0.03266,-0.0576,0.2071,1.0000
12.500,1.4171,0.04236,0.03547,-0.0553,0.1889,1.0000
12.750,1.4087,0.04535,0.03839,-0.0535,0.1728,1.0000
13.000,1.4016,0.04842,0.04138,-0.0520,0.1581,1.0000
13.250,1.3957,0.05153,0.04446,-0.0509,0.1446,1.0000
13.500,1.3912,0.05464,0.04753,-0.0499,0.1323,1.0000
13.750,1.3876,0.05778,0.05063,-0.0491,0.1212,1.0000
14.000,1.3854,0.06084,0.05361,-0.0484,0.1107,1.0000
14.250,1.3806,0.06428,0.05711,-0.0482,0.1017,1.0000
14.500,1.3771,0.06775,0.06067,-0.0479,0.0931,1.0000
14.750,1.3763,0.07092,0.06377,-0.0477,0.0848,1.0000
15.000,1.3711,0.07472,0.06770,-0.0480,0.0780,1.0000
15.250,1.3698,0.07822,0.07124,-0.0479,0.0712,1.0000
15.500,1.3678,0.08174,0.07479,-0.0482,0.0654,1.0000
15.750,1.3671,0.08545,0.07862,-0.0483,0.0599,1.0000
16.000,1.3650,0.08921,0.08250,-0.0488,0.0556,1.0000
16.250,1.3720,0.09211,0.08541,-0.0484,0.0512,1.0000
16.500,1.3644,0.09687,0.09047,-0.0496,0.0488,1.0000
16.750,1.3590,0.10131,0.09509,-0.0508,0.0464,1.0000
17.000,1.3741,0.10322,0.09681,-0.0500,0.0427,1.0000
17.250,1.3609,0.10890,0.10283,-0.0521,0.0421,1.0000
17.500,1.3468,0.11500,0.10924,-0.0547,0.0416,1.0000
17.750,1.3315,0.12150,0.11603,-0.0577,0.0412,1.0000
18.000,1.3142,0.12858,0.12338,-0.0614,0.0410,1.0000
18.250,1.2942,0.13642,0.13148,-0.0660,0.0410,1.0000
18.500,1.2724,0.14500,0.14030,-0.0713,0.0412,1.0000
18.750,1.2489,0.15443,0.14994,-0.0775,0.0416,1.0000
19.000,1.2240,0.16482,0.16049,-0.0845,0.0421,1.0000
19.250,1.1997,0.17585,0.17161,-0.0919,0.0426,1.0000
